DATE,SALINITY,SALINITY_UNITS
2022-10-15,33.0,ppt
2022-10-16,31.0,ppt
2022-10-17,31.0,ppt
2022-10-18,31.0,ppt
2022-10-19,29.0,ppt
2022-10-21,29.0,ppt
2022-10-22,29.0,ppt
2022-10-23,29.0,ppt
2022-10-24,29.0,ppt
2022-10-25,29.0,ppt
2022-10-26,28.0,ppt
2022-10-27,29.0,ppt
2022-10-28,28.0,ppt
2022-10-29,28.0,ppt
2022-10-30,28.0,ppt
2022-10-31,28.0,ppt
2022-11-01,29.0,ppt
2022-11-02,29.0,ppt
2022-11-03,30.0,ppt
2022-11-04,30.0,ppt
2022-11-05,30.0,ppt
2022-11-06,30.0,ppt
2022-11-07,30.0,ppt
2022-11-08,31.0,ppt
2022-11-09,31.0,ppt
2022-11-10,30.0,ppt
2022-11-11,30.0,ppt
2022-11-12,31.0,ppt
2022-11-13,31.0,ppt
2022-11-14,31.0,ppt
2022-11-15,31.0,ppt
2022-11-16,32.0,ppt
2022-11-17,32.0,ppt
2022-11-18,32.0,ppt
2022-11-19,32.0,ppt
2022-11-20,32.0,ppt
2022-11-21,31.0,ppt
2022-11-22,30.0,ppt
2022-11-23,30.0,ppt
2022-11-24,30.0,ppt
2022-11-25,30.0,ppt
2022-11-26,30.0,ppt
2022-11-27,31.0,ppt
2022-11-28,31.0,ppt
2022-11-29,31.0,ppt
2022-11-30,30.0,ppt
2022-12-01,32.0,ppt
2022-12-02,32.0,ppt
2022-12-03,32.0,ppt
2022-12-04,32.0,ppt
2022-12-05,32.0,ppt
2022-12-06,31.0,ppt
2022-12-07,31.0,ppt
2022-12-08,31.0,ppt
2022-12-09,33.0,ppt
2022-12-10,33.0,ppt
2022-12-11,33.0,ppt
2022-12-12,33.0,ppt
2022-12-13,32.0,ppt
2022-12-14,32.0,ppt
2022-12-15,33.0,ppt
2022-12-16,33.0,ppt
2022-12-17,34.0,ppt
2022-12-18,33.0,ppt
2022-12-19,33.0,ppt
2022-12-20,32.0,ppt
2022-12-21,31.0,ppt
2022-12-23,31.0,ppt
2022-12-24,31.0,ppt
2022-12-25,32.0,ppt
2022-12-30,31.0,ppt
2022-12-31,31.0,ppt
2023-01-01,31.0,ppt
2023-01-02,31.0,ppt
2023-01-03,31.0,ppt
2023-01-04,30.0,ppt
2023-01-05,30.0,ppt
2023-01-06,32.0,ppt
2023-01-07,32.0,ppt
2023-01-08,32.0,ppt
2023-01-09,32.0,ppt
2023-01-10,32.0,ppt
2023-01-11,32.0,ppt
2023-01-12,32.0,ppt
2023-01-13,32.0,ppt
2023-01-14,32.0,ppt
2023-01-15,33.0,ppt
2023-01-16,32.0,ppt
2023-01-17,32.0,ppt
2023-01-18,32.0,ppt
2023-01-19,32.0,ppt
2023-01-20,32.0,ppt
2023-01-21,32.0,ppt
